Sender	Ort	Land	Bitrate	Aktualisierung	Adresse
Kanal Ratte	Schopfheim	Deutschland	0		http://radio.kanal-ratte.de:8000/rkr.ogg
Karneval	Köln	Deutschland	0		http://dude.mp3streams.net/karnevalstream
Klassik Radio	Hamburg	Deutschland	0		http://edge.live.mp3.mdn.newmedia.nacamar.net/klassikradio128/livestream.mp3
Krautrock-World	Karlsruhe	Deutschland	0		http://krautrock.pop-stream.de:7592
laut.fm/herrmerktradio	Konstanz	Deutschland	128	03.10.16	http://stream.laut.fm/herrmerktradio
laut.fm/travel-trends	Aschaffenburg	Deutschland	128	03.10.16	http://stream.laut.fm/travel-trends
Lora osteuropäisch ???	München	Deutschland	32	03.10.16	http://live.lora924.de:8000/loramp3.mp3
Lounge FM	Wien	Österreich	0		http://edge.live.mp3.mdn.newmedia.nacamar.net:80/loungefmoesterreich/livestream.mp3
LOUNGE GROOVES	Wettingen	Schweiz	128	03.10.16	http://de1.streamhosting.ch:8050
love	Hamburg	Deutschland	0		http://dude.mp3streams.net/love
MAX-FM	Erfurt	Deutschland	0		http://stream.max-fm.com:8000/maxfm
MDR Figaro	Halle (Saale)	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22007mdrfigaro/live/3087mdr_figaro/live_de_128.mp3
MDR Info	Leipzig	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22006mdr/live/3087mdr_info/live_de_128.mp3
MDR Klassik	Halle (Saale)	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22008mdrklassik/live/3087mdrklassik/live_de_128.mp3
MDR Sputnik Black	Halle (Saale)	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22005mdr/live/3087mdr_sputnik_ch_black.mp3
MDR Sputnik Club	Halle (Saale)	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22005mdr/live/3087mdr_sputnik_ch_club.mp3
MDR Sputnik Insomnia	Halle (Saale)	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22005mdr/live/3087mdr_sputnik_ch_cd1.mp3
MDR Sputnik Makossa	Halle (Saale)	Deutschland	0		http://c22033-l.i.core.cdn.streamfarm.net/22033mdr/live/3087mdr_sputnik/ch_makossa_128.mp3
MDR Sputnik Popkult	Halle (Saale)	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22005mdr/live/3087mdr_sputnik_ch_cd2.mp3
MDR Sputnik Rock	Halle (Saale)	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22005mdr/live/3087mdr_sputnik_ch_rock.mp3
MDR Sputnik Soundcheck	Halle (Saale)	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22033mdr/live/3087mdr_sputnik/ch_soundcheck_128.mp3
MDR1 Sachsen	Dresden	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22001mdr1sachsen/live/3087mdr_sachsen/live_de_128.mp3
MDR1 Sachsen-Anhalt	Magdeburg	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22002mdr1sachsenanhalt/live/3087mdr_mdr1sa/live_de_128.mp3
MDR1 Thüringen	Dresden	Deutschland	128	03.10.16	http://c22033-l.i.core.cdn.streamfarm.net/22003mdr1thueringen/live/3087mdr_thue/live_de_128.mp3
memoryradio	Oberschleißheim	Deutschland	96	03.10.16	http://www.memoryradio.de:4000
Merry Christmas	Hamburg	Deutschland	0		http://staff.mp3streams.net/xmas
Metal Refinement	Köln	Deutschland	0		http://www.metal-refinement.de:8088
Metal-Only	Deizisau	Deutschland	0		http://metal-only.blitz-stream.de
Milina Radio	Recklinghausen	Deutschland	0		http://server4.digital-webstream.de:7130
MMORPG-Radio	-	Deutschland	0		http://www.gilde-gothic.de:8000
mth.Alternative	Erlangen	Deutschland	128	03.10.16	http://alternative.mthn.net:8700
multicult fm (multicult2.0)	Berlin	Deutschland	128	03.10.16	http://stream.multicult.fm:8000/hifi
Munich-Radio	München	Deutschland	128	03.10.16	http://www.munich-radio.de:8000
Munich's Hardest Hits	München	Deutschland	128	03.10.16	http://84.19.188.7:8010
N-JOY	Hamburg	Deutschland	128	03.10.16	http://www.ndr.de/resources/metadaten/audio/m3u/n-joy.m3u
NDR 1 Niedersachsen	Hannover	Deutschland	128	03.10.16	http://www.ndr.de/resources/metadaten/audio/m3u/ndr1niedersachsen.m3u
NDR 1 Radio MV	Hamburg	Deutschland	128	03.10.16	http://www.ndr.de/resources/metadaten/audio/m3u/ndr1radiomv.m3u
