Sender	Ort	Land	Bitrate	Aktualisierung	Adresse
RBB Kulturradio LowQuality	Berlin / Potsdam	Deutschland	48	09.10.16	http://rbb-mp3-kulturradio-s.akacast.akamaistream.net/7/921/292095/v1/gnl.akacast.akamaistream.net/rbb_mp3_kulturradio_s
RBB radioeins	Berlin / Potsdam	Deutschland	128	09.10.16	http://rbb-mp3-radioeins-m.akacast.akamaistream.net/7/854/292097/v1/gnl.akacast.akamaistream.net/rbb_mp3_radioeins_m
RBB radioeins	Berlin / Potsdam	Deutschland	48	09.10.16	http://rbb-mp3-radioeins-s.akacast.akamaistream.net/7/832/292097/v1/gnl.akacast.akamaistream.net/rbb_mp3_radioeins_s
RBB Fritz	Berlin / Potsdam	Deutschland	128	09.10.16	http://rbb-mp3-fritz-m.akacast.akamaistream.net/7/799/292093/v1/gnl.akacast.akamaistream.net/rbb_mp3_fritz_m
RBB Fritz LowQuality	Berlin / Potsdam	Deutschland	48	09.10.16	http://rbb-mp3-fritz-s.akacast.akamaistream.net/7/817/292093/v1/gnl.akacast.akamaistream.net/rbb_mp3_fritz_s
RBB Antenne Brandenburg	Berlin / Potsdam	Deutschland	128	09.10.16	http://rbb-mp3-antenneb-m.akacast.akamaistream.net/7/516/292092/v1/gnl.akacast.akamaistream.net/rbb_mp3_antenneb_m
RBB Antenne Brandenburg LowQuality	Berlin / Potsdam	Deutschland	48	09.10.16	http://rbb-mp3-antenneb-s.akacast.akamaistream.net/7/534/292092/v1/gnl.akacast.akamaistream.net/rbb_mp3_antenneb_s
RBB radioBERLIN	Berlin / Potsdam	Deutschland	128	09.10.16	http://rbb-mp3-radioberlin-m.akacast.akamaistream.net/7/70/292096/v1/gnl.akacast.akamaistream.net/rbb_mp3_radioberlin_m
RBB radioBERLIN	Berlin / Potsdam	Deutschland	48	09.10.16	http://rbb-mp3-radioberlin-s.akacast.akamaistream.net/7/52/292096/v1/gnl.akacast.akamaistream.net/rbb_mp3_radioberlin_s
Rheinwelle	Wiesbaden	Deutschland	128	09.10.16	http://s2.onlinestream.de:6640
RMN powerstream	Kleinblittersdorf	Deutschland	192	09.10.16	http://server.powerstream.de:30846
RMN radio	Kleinblittersdorf	Deutschland	160	09.10.16	http://streamserver1.radiomelodienet.de:8022
RMN relax	Kleinblittersdorf	Deutschland	0		http://91.121.176.177:8023
RMN schlagerhoelle	Kleinblittersdorf	Deutschland	128	09.10.16	http://server1.schlagerhoelle.de:30842
RMN soulstar	Kleinblittersdorf	Deutschland	0		http://server1.rmnsoulstar.de:8010
Rock	Hamburg	Deutschland	0		http://dude.mp3streams.net/rock
Rockantenne	München	Deutschland	128	09.10.16	http://mp3.webradio.rockantenne.de:80
Rockland Radio	Pirmasens/Mainz	Deutschland	192	09.10.16	http://188.94.97.90/rockland.mp3
rockradio.de	Berlin	Deutschland	128	09.10.16	http://rockradio.de:8090
Rocky.FM	Berlin	Deutschland	128	09.10.16	http://sc1.netstreamer.net:8020
RPR1	Ludwigshafen	Deutschland	128	09.10.16	http://rpr1.fmstreams.de/stream1
RPR1.80er	Ludwigshafen	Deutschland	128	09.10.16	http://rpr1.fmstreams.de/stream4
RPR1.Rock	Ludwigshafen	Deutschland	128	09.10.16	http://rpr1.fmstreams.de/stream3
RPR1.Top40	Ludwigshafen	Deutschland	128	09.10.16	http://rpr1.fmstreams.de/stream5
RPR1.Best of 80s	Ludwigshafen	Deutschland	128	09.10.16	http://rpr1.fmstreams.de/stream2
RundFunk Meissner	Eschwege	Deutschland	128	09.10.16	http://s8.pop-stream.de:8650
Russian Radio	Cuxhaven	Deutschland	128	09.10.16	http://play.russian-radio.de:8000
Schwarzwaldradio	Offenburg	Deutschland	128	09.10.16	http://str31.creacast.com/hitradio_ohr_thema1
Sound-Generation.FM Club	Thale	Deutschland	0		http://78.159.104.157
Sound-Generation.FM Extreme	Thale	Deutschland	0		http://extremestream.sound-generation.fm
Sound-Generation.FM House	Thale	Deutschland	0		http://housestream.sound-generation.fm
Sound-Generation.FM Main	Thale	Deutschland	0		http://217.20.115.91:8000
Soundportal	Graz	Österreich	0		http://netradio01.soundportal.at:8100/live160
soundstylez.fm Club	Erftstadt	Deutschland	0		http://server2.blitz-stream.de:40060
soundstylez.fm Main	Erftstadt	Deutschland	0		http://server2.blitz-stream.de:40040
SR 1 Live	Saarbrücken	Deutschland	128	09.10.16	http://sr1m.akacast.akamaistream.net/7/725/142685/v1/gnl.akacast.akamaistream.net/sr1m
SR 1 Live LowQuality	Saarbrücken	Deutschland	56	09.10.16	http://sr1s.akacast.akamaistream.net/7/747/142685/v1/gnl.akacast.akamaistream.net/sr1s
SR 2 Kulturradio	Saarbrücken	Deutschland	128	09.10.16	http://sr2m.akacast.akamaistream.net/7/375/142686/v1/gnl.akacast.akamaistream.net/sr2m
SR 2 Kulturradio LowQuality	Saarbrücken	Deutschland	56	09.10.16	http://sr2s.akacast.akamaistream.net/7/349/142686/v1/gnl.akacast.akamaistream.net/sr2s
SR 3 Saarlandwelle	Saarbrücken	Deutschland	128	09.10.16	http://sr3m.akacast.akamaistream.net/7/722/142687/v1/gnl.akacast.akamaistream.net/sr3m
SR 3 Saarlandwelle LowQuality	Saarbrücken	Deutschland	56	09.10.16	http://sr3s.akacast.akamaistream.net/7/724/142687/v1/gnl.akacast.akamaistream.net/sr3s
Antenne Saar	Saarbrücken	Deutschland	128	09.10.16	http://asm.akacast.akamaistream.net/7/495/305516/v1/gnl.akacast.akamaistream.net/asm
Antenne Saar LowQuality	Saarbrücken	Deutschland	56	09.10.16	http://ass.akacast.akamaistream.net/7/513/305516/v1/gnl.akacast.akamaistream.net/ass
SR 103.7 Unserding	Saarbrücken	Deutschland	128	09.10.16	http://udm.akacast.akamaistream.net/7/384/142688/v1/gnl.akacast.akamaistream.net/udm
SR 103.7 Unserding LowQuality	Saarbrücken	Deutschland	56	09.10.16	http://uds.akacast.akamaistream.net/7/410/142688/v1/gnl.akacast.akamaistream.net/uds
StadtRadio Goettingen	Göttingen	Deutschland	128	09.10.16	http://stream.stadtradio-goettingen.de:8000/stadtradio.mp3
Suedstars-Radio.de	Bad Waldsee	Deutschland	0		http://stream1.suedstars-radio.de:8000
Sunray FM	Chemnitz	Deutschland	0		http://sunray-fm.de:8000
SwissGroove	Altstätten	Schweiz	0		http://swiss1.impek.tv
SWR info	Stuttgart	Deutschland	128	09.10.16	http://swr-mp3-m-info.akacast.akamaistream.net/7/40/137140/v1/gnl.akacast.akamaistream.net/swr-mp3-m-info
SWR info	Stuttgart	Deutschland	64	09.10.16	http://swr-mp3-s-info.akacast.akamaistream.net/7/577/137140/v1/gnl.akacast.akamaistream.net/swr-mp3-s-info
SWR DasDing	Stuttgart	Deutschland	128	09.10.16	http://swr-mp3-m-dasding.akacast.akamaistream.net/7/588/137139/v1/gnl.akacast.akamaistream.net/swr-mp3-m-dasding
SWR DasDing	Stuttgart	Deutschland	64	09.10.16	http://swr-mp3-s-dasding.akacast.akamaistream.net/7/207/137139/v1/gnl.akacast.akamaistream.net/swr-mp3-s-dasding
SWR1 Baden-Württemberg	Stuttgart	Deutschland	128	09.10.16	http://swr-mp3-m-swr1bw.akacast.akamaistream.net/7/245/137133/v1/gnl.akacast.akamaistream.net/swr-mp3-m-swr1bw
SWR1 Baden-Württemberg	Stuttgart	Deutschland	64	09.10.16	http://swr-mp3-s-swr1bw.akacast.akamaistream.net/7/395/137133/v1/gnl.akacast.akamaistream.net/swr-mp3-s-swr1bw
SWR1 Rheinland-Pfalz	Stuttgart	Deutschland	128	09.10.16	http://swr-mp3-m-swr1rp.akacast.akamaistream.net/7/467/137134/v1/gnl.akacast.akamaistream.net/swr-mp3-m-swr1rp
SWR1 Rheinland-Pfalz	Stuttgart	Deutschland	64	09.10.16	http://swr-mp3-s-swr1rp.akacast.akamaistream.net/7/352/137134/v1/gnl.akacast.akamaistream.net/swr-mp3-s-swr1rp
SWR2	Stuttgart	Deutschland	128	09.10.16	http://swr-mp3-m-swr2.akacast.akamaistream.net/7/721/137135/v1/gnl.akacast.akamaistream.net/swr-mp3-m-swr2
SWR2	Stuttgart	Deutschland	64	09.10.16	http://swr-mp3-s-swr2.akacast.akamaistream.net/7/204/137135/v1/gnl.akacast.akamaistream.net/swr-mp3-s-swr2
SWR3	Stuttgart	Deutschland	128	09.10.16	http://swr-mp3-m-swr3.akacast.akamaistream.net/7/720/137136/v1/gnl.akacast.akamaistream.net/swr-mp3-m-swr3
SWR3	Stuttgart	Deutschland	64	09.10.16	http://swr-mp3-s-swr3.akacast.akamaistream.net/7/203/137136/v1/gnl.akacast.akamaistream.net/swr-mp3-s-swr3
SWR4 Baden-Württemberg	Stuttgart	Deutschland	128	09.10.16	http://swr-mp3-m-swr4bw.akacast.akamaistream.net/7/426/137137/v1/gnl.akacast.akamaistream.net/swr-mp3-m-swr4bw
SWR4 Baden-Württemberg	Stuttgart	Deutschland	64	09.10.16	http://swr-mp3-s-swr4bw.akacast.akamaistream.net/7/638/137137/v1/gnl.akacast.akamaistream.net/swr-mp3-s-swr4bw
SWR4 Rheinland-Pfalz	Stuttgart	Deutschland	128	09.10.16	http://swr-mp3-m-swr4rp.akacast.akamaistream.net/7/906/137138/v1/gnl.akacast.akamaistream.net/swr-mp3-m-swr4rp
SWR4 Rheinland-Pfalz	Stuttgart	Deutschland	64	09.10.16	http://swr-mp3-s-swr4rp.akacast.akamaistream.net/7/597/137138/v1/gnl.akacast.akamaistream.net/swr-mp3-s-swr4rp
Techno4ever	Norderstedt	Deutschland	0		http://listen.to.techno4ever.net
TechnoBase.FM	Moers	Deutschland	0		http://dsl.tb-stream.net:80
Tiger-Radio!	Westerroenfeld	Deutschland	0		http://85.25.150.17:8000
TIMM House	Berlin	Deutschland	0		http://dude.mp3streams.net/timmhouse
Top 100 Single Chart	Thurnau	Deutschland	0		http://87.118.78.7:8030
top 100 station	Berlin	Deutschland	0		http://housestream.sound-generation.fm
TOP FM	Fürstenfeldbruck	Deutschland	0		http://85.214.91.242:8000/stream_hq.mp3
Top-128	-	Schweiz	0		mms://dms-cl-022.skypro-media.net/top-128
TranceBase.FM	Mönchengladbach	Deutschland	192	09.10.16	http://mp3.trb-stream.net
TrueHipHop.FM	Gengenbach	Deutschland	0		http://truehiphop.dyndns.org:9020
UZIC - Techno Minimal	Lausanne	Schweiz	128	09.10.16	http://stream.uzic.ch:9010
Vox Noctem	Nürnberg	Deutschland	0		http://91.121.11.196:13030
WDR 1 Live	Köln	Deutschland	128	03.10.16	http://1live.akacast.akamaistream.net/7/706/119434/v1/gnl.akacast.akamaistream.net/1live
WDR 2	Köln	Deutschland	128	03.10.16	http://wdr-mp3-m-wdr2-koeln.akacast.akamaistream.net/7/812/119456/v1/gnl.akacast.akamaistream.net/wdr-mp3-m-wdr2-koeln
WDR 3	Köln	Deutschland	128	03.10.16	http://wdr-3.akacast.akamaistream.net/7/47/119437/v1/gnl.akacast.akamaistream.net/wdr-3
WDR 4	Köln	Deutschland	128	03.10.16	http://wdr-4.akacast.akamaistream.net/7/42/119438/v1/gnl.akacast.akamaistream.net/wdr-4
WDR 5	Köln	Deutschland	128	03.10.16	http://wdr-5.akacast.akamaistream.net/7/41/119439/v1/gnl.akacast.akamaistream.net/wdr-5
WDR Kiraka	Köln	Deutschland	128	03.10.16	http://kiraka.akacast.akamaistream.net/7/285/119443/v1/gnl.akacast.akamaistream.net/kiraka
WE LOVE HOUSE FM	Wiesbaden	Deutschland	192	09.10.16	http://we-love-house.fm:8000/stream
WebRadio Troisdorf	Troisdorf	Deutschland	0		http://80.237.152.110:9000
WoED.fm	Datteln	Deutschland	192	09.10.16	http://stream1-1.woed.de:80
Wunschradio.fm	Hückelhoven	Deutschland	0		http://stream.wunschradio.de/wunschradio/livestream.mp3
Wüste Welle	Tübingen	Deutschland	0		http://188.40.63.198:8000/stream
YOU fm	Frankfurt	Deutschland	128	09.10.16	http://hr-mp3-m-youfm.akacast.akamaistream.net/7/246/142136/v1/gnl.akacast.akamaistream.net/hr-mp3-m-youfm
YOU fm LowQuality	Frankfurt	Deutschland	48	09.10.16	http://hr-mp3-s-youfm.akacast.akamaistream.net/7/454/142136/v1/gnl.akacast.akamaistream.net/hr-mp3-s-youfm
YOU FM Just Music	Frankfurt	Deutschland	128	09.10.16	http://hr-mp3-m-youfm-justmusic.akacast.akamaistream.net/7/529/142137/v1/gnl.akacast.akamaistream.net/hr-mp3-m-youfm-justmusic
YOU FM Sounds	Frankfurt	Deutschland	128	09.10.16	http://hr-mp3-m-youfm-sounds.akacast.akamaistream.net/7/360/142137/v1/gnl.akacast.akamaistream.net/hr-mp3-m-youfm-sounds
YOU FM Club	Frankfurt	Deutschland	128	09.10.16	http://hr-mp3-m-youfm-club.akacast.akamaistream.net/7/910/142137/v1/gnl.akacast.akamaistream.net/hr-mp3-m-youfm_club

mplayer -playlist  http://www.listenlive.eu/fr_fbparis.m3u
style.css
index.html
new.html
&#109;&#097;&#105;&#108;&#116;&#111;&#58;&#109;&#105;&#107;&#101;&#064;&#108;&#105;&#115;&#116;&#101;&#110;&#108;&#105;&#118;&#101;&#046;&#101;&#117;
http://www.franceinfo.fr/
http://www.listenlive.eu/fr_franceinfo128.m3u
https://www.franceinter.fr/
http://www.listenlive.eu/fr_franceinter128.m3u
http://www.francemusique.fr/
http://www.listenlive.eu/fr_francemusique128.m3u
http://www.francemusique.fr/
http://www.listenlive.eu/fr_francemusiqueeasy.m3u
http://www.francemusique.fr/
http://www.listenlive.eu/fr_francemusiqueplus.m3u
http://www.francemusique.fr/
http://www.listenlive.eu/fr_francemusiqueconcerts.m3u
http://www.francemusique.fr/
http://www.listenlive.eu/fr_francemusiquemonde.m3u
http://www.francemusique.fr/
http://www.listenlive.eu/fr_francemusiquejazz.m3u
http://www.francemusique.fr/
http://www.listenlive.eu/fr_francemusiquecontemp.m3u
http://www.franceculture.fr/
http://www.listenlive.eu/fr_franceculture128.m3u
http://www.fipradio.fr/
http://www.listenlive.eu/fr_fip128.m3u
http://www.fipradio.fr/
http://www.listenlive.eu/fr_fipnantes.m3u
http://www.fipradio.fr/
http://www.listenlive.eu/fr_fipbordeaux.m3u
http://www.fipradio.fr/
http://www.listenlive.eu/fr_fipstrasbourg.m3u
http://www.fipradio.fr/webradio-fip-autour-du-rock
http://www.listenlive.eu/fr_fiprock.m3u
http://www.fipradio.fr/webradio-fip-autour-du-jazz
http://www.listenlive.eu/fr_fipjazz.m3u
http://www.fipradio.fr/webradio-fip-autour-du-groove
http://www.listenlive.eu/fr_fipgroove.m3u
http://www.fipradio.fr/webradio-fip-autour-du-monde
http://www.listenlive.eu/fr_fipmonde.m3u
http://www.fipradio.fr/webradio-tout-nouveau-tout-fip
http://www.listenlive.eu/fr_fipnouveau.m3u
http://www.mouv.fr/
http://www.listenlive.eu/fr_mouv.m3u
http://www.mouv.fr/
http://www.listenlive.eu/fr_mouvxtra.m3u
https://www.francebleu.fr/alsace
http://www.listenlive.eu/fr_fbalsace.m3u
https://www.francebleu.fr/armorique
http://www.listenlive.eu/fr_fbarmorique.m3u
https://www.francebleu.fr/auxerre
http://www.listenlive.eu/fr_fbauxerre.m3u
https://www.francebleu.fr/azur
http://www.listenlive.eu/fr_fbazur.m3u
https://www.francebleu.fr/bearn
http://www.listenlive.eu/fr_fbbearn.m3u
https://www.francebleu.fr/belfort-montbeliard
http://www.listenlive.eu/fr_fbbelfort.m3u
https://www.francebleu.fr/berry
http://www.listenlive.eu/fr_fbberry.m3u
https://www.francebleu.fr/besancon
http://www.listenlive.eu/fr_fbbesancon.m3u
https://www.francebleu.fr/bourgogne
http://www.listenlive.eu/fr_fbbourgogne.m3u
https://www.francebleu.fr/breizh-izel
http://www.listenlive.eu/fr_fbbreizizel.m3u
https://www.francebleu.fr/champagne-ardenne
http://www.listenlive.eu/fr_fbchampagne.m3u
https://www.francebleu.fr/cotentin
http://www.listenlive.eu/fr_fbcotentin.m3u
https://www.francebleu.fr/creuse
http://www.listenlive.eu/fr_fbcreuse.m3u
https://www.francebleu.fr/drome-ardeche
http://www.listenlive.eu/fr_fbdromeardeche.m3u
https://www.francebleu.fr/elsass
http://www.listenlive.eu/fr_fbelsass.m3u
https://www.francebleu.fr/gard-lozere
http://www.listenlive.eu/fr_fbgardlozere.m3u
https://www.francebleu.fr/gascogne
http://www.listenlive.eu/fr_fbgascogne.m3u
https://www.francebleu.fr/gironde
http://www.listenlive.eu/fr_fbgironde.m3u
https://www.francebleu.fr/herault
http://www.listenlive.eu/fr_fbherault.m3u
https://www.francebleu.fr/isere
http://www.listenlive.eu/fr_fbisere.m3u
https://www.francebleu.fr/la-rochelle
http://www.listenlive.eu/fr_fblarochelle.m3u
https://www.francebleu.fr/limousin
http://www.listenlive.eu/fr_fblimousin.m3u
https://www.francebleu.fr/loire-ocean
http://www.listenlive.eu/fr_fbloireocean.m3u
https://www.francebleu.fr/lorraine-nord
http://www.listenlive.eu/fr_fblorrainenord.m3u
https://www.francebleu.fr/maine
http://www.listenlive.eu/fr_fbmaine.m3u
https://www.francebleu.fr/rcfm
http://www.listenlive.eu/fr_fbmayenne.m3u
https://www.francebleu.fr/nord
http://www.listenlive.eu/fr_fbnord.m3u
https://www.francebleu.fr/normandie-caen
http://www.listenlive.eu/fr_fbbassenormandie.m3u
https://www.francebleu.fr/normandie-rouen
http://www.listenlive.eu/fr_fbhautenormandie.m3u
https://www.francebleu.fr/toulouse
http://www.listenlive.eu/fr_fbtoulouse.m3u
https://www.francebleu.fr/orleans
http://www.listenlive.eu/fr_fborleans.m3u
https://www.francebleu.fr/107-1
http://www.listenlive.eu/fr_fbparis.m3u
https://www.francebleu.fr/pays-d-auvergne
http://www.listenlive.eu/fr_fbpaysdauvergne.m3u
https://www.francebleu.fr/pays-de-savoie
http://www.listenlive.eu/fr_fbpaysdesavoie.m3u
https://www.francebleu.fr/pays-basque
http://www.listenlive.eu/fr_fbpaysbasque.m3u
https://www.francebleu.fr/perigord
http://www.listenlive.eu/fr_fbperigord.m3u
https://www.francebleu.fr/picardie
http://www.listenlive.eu/fr_fbpicardie.m3u
https://www.francebleu.fr/poitou
http://www.listenlive.eu/fr_fbpoitou.m3u
https://www.francebleu.fr/provence
http://www.listenlive.eu/fr_fbprovence.m3u
https://www.francebleu.fr/rcfm
http://www.listenlive.eu/fbfrequenzamora.m3u
https://www.francebleu.fr/roussillon
http://www.listenlive.eu/fr_fbroussillon.m3u
https://www.francebleu.fr/saint-etienne-loire
http://www.listenlive.eu/fr_fbstetienne.m3u
https://www.francebleu.fr/sud-lorraine
http://www.listenlive.eu/fr_fbsudlorraine.m3u
https://www.francebleu.fr/touraine
http://www.listenlive.eu/fr_fbtouraine.m3u
https://www.francebleu.fr/vaucluse
http://www.listenlive.eu/fr_fbvaucluse.m3u
http://www.rfi.fr/
http://www.listenlive.eu/rfimonde.m3u
http://www.rfi.fr/
http://www.listenlive.eu/rfiafrique.m3u
http://www.77fm.net/
http://www.77fm.net/77FM.m3u
http://www.accent4.com/
http://str0.creacast.com:900/listen.pls
http://players.creacast.com/creacast/accent4/playlist.pls
http://www.activradio.com/
http://www.activradio.com/component/popupStream/ecouteSaintTienne.m3u
http://www.activradio.com/
http://www.activradio.com/component/popupStream/ecouteRoanne.m3u
http://www.adofm.fr/
http://broadcast.infomaniak.ch/start-adofm-high.mp3.m3u
http://www.africa1.com/
http://african1paris.ice.infomaniak.ch/african1paris-128.mp3.m3u
http://www.agorafm.com/
http://37.59.53.200:8013/listen.pls?sid=1
http://www.alouette.fr/
http://www.alouette.fr/alouette.m3u
http://www.alouette.fr/alouette_aac.m3u
http://www.alpes1.com/
http://broadcast.infomaniak.ch/alpes1grenoble-high.mp3.m3u
http://www.alpes1.com/
http://broadcast.infomaniak.ch/alpes1gap-high.mp3.m3u
http://www.alta-frequenza.com/
http://str80.streamakaci.com:7020/listen.pls
http://www.alternantesfm.net/
http://diffusion.lafrap.fr/alternantes.mp3.m3u
http://www.arlfm.com/
http://www.tv-radio.com/station/arl/arl.m3u
http://www.arvorigfm.com/
http://arvorig-fm.online.stalig.net/live.mp3.m3u
http://arvorig-fm.online.stalig.net/live-ori.ogg.m3u
http://www.atomicfm.fr/
http://www.atomicfm.fr/Atomic.m3u
http://www.autorouteinfo.fr/
http://media.autorouteinfo.fr:8000/direct_nord.mp3.m3u
http://www.autorouteinfo.fr/
http://media.autorouteinfo.fr:8000/direct_sud.mp3.m3u
http://radio-aypfm.com/
http://radioayp.streamakaci.com/listen.pls
http://www.azur-fm.com/
http://sv3.vestaradio.com:4220/listen.pls
http://www.radiobfm.com/
http://www.listenlive.eu/bfm.m3u
http://www.bacfm.fr/
http://bacfm.net:8000/bacfm.m3u
http://www.beaubfm.org
http://www.tv-radio.com/station/beaub/beaub.m3u
http://www.beurfm.net/
http://broadcast.infomaniak.ch/beurfm-high.mp3.m3u
http://www.bpmlaradio.com/
http://str20.creacast.com/bpm.m3u
http://www.california101radio.com/
http://www.california101radio.com/california101.pls
http://www.campusfm.fr/
http://live.radio-campus.org:8000/toulouse.m3u
http://www.canalb.fr/
http://stream.levillage.org/canalb.m3u
http://www.canalfm.fr/
http://www.listenlive.eu/canalfmhd.m3u
http://www.canalsud.net/
http://www.listenlive.eu/canalsud.m3u
http://www.catalognenord.com/
http://www.tv-radio.com/station/catalogne_nord/catalogne_nord.m3u
http://www.champagnefm.com/
http://champagnefm.ice.infomaniak.ch/champagnefm-128-marne.mp3.m3u
http://www.champagnefm.com/
http://champagnefmaube.ice.infomaniak.ch/champagnefm-128-aube.mp3.m3u
http://www.champagnefm.com/
http://champagnefmardennes.ice.infomaniak.ch/champagnefm-128-ardennes.mp3.m3u
http://www.champagnefm.com/
http://champagnefmaisne.ice.infomaniak.ch/champagnefm-128-aisne.mp3.m3u
http://www.chantefrance.com/
http://stream1.chantefrance.com/Chante_France.m3u
http://www.cheriefm.fr/
http://www.listenlive.eu/fr_cheriefm.m3u
http://www.classicandjazz.net/
http://classicandjazz.ice.infomaniak.ch/classicandjazz-128.mp3.m3u
http://www.cocktailfm.com/
http://91.121.62.121:7450/listen.pls
http://www.collines-laradio.fr
http://www.tv-radio.com/station/collines/collines.m3u
http://www.contactfm.com/
http://statslive.infomaniak.ch/playlist/radio-contact/radio-contact-high.mp3/playlist.pls
http://www.corsicaradio.com/
http://92.243.25.139:9000/listen.pls
http://www.cristalfm.org/
http://cristalfm.no-ip.biz:8000/listen.pls
http://radio-decibel.fr/
http://88.191.128.150:8004/decibel.mp3.m3u
http://www.deltafm.fr/
http://broadcast.infomaniak.ch/deltafmdunkerque-high.mp3.m3u
http://broadcast.infomaniak.ch/deltafmdunkerque-high.aac.m3u
http://www.deltafm.fr/
http://broadcast.infomaniak.ch/deltafmsaintomer-high.mp3.m3u
http://broadcast.infomaniak.ch/deltafmsaintomer-high.aac.m3u
http://www.deltafm.fr/
http://broadcast.infomaniak.ch/deltafmboulogne-high.mp3.m3u
http://broadcast.infomaniak.ch/deltafmboulogne-high.aac.m3u
http://www.radiodirect.net/
http://stream.devclic.net:8200/listen.pls
http://www.divergence-fm.org/
http://stream.divergence-fm.org:8000/divergence.mp3.m3u
http://www.radioefm.fr/
http://broadcast.infomaniak.ch/radioefm-high.mp3.m3u
http://www.emergence-fm.com/
http://live140.impek.com:9976/listen.pls
http://www.enjoy33.fr/
http://radiotrg.ice.infomaniak.ch/radiotrg-high.mp3.m3u
http://www.radio-estfm.com/
http://players.creacast.com/creacast/estfm/playlist.pls
http://www.europe1.fr/
http://www.listenlive.eu/europe1.m3u
http://www.evasionfm.com/
http://www.listenlive.eu/evasionfm.m3u
http://www.fcradio.fr/
http://broadcast.infomaniak.ch/fcradio-128.mp3.m3u
http://www.flashfm.fr/
http://live140.impek.com:8000/listen.pls
http://www.florfm.com/
http://stream.florfm.com:8000/florfm.m3u
http://www.fmcradio.fr/
http://www.fmcradio.fr/module/radio/fmc_haut_debit.m3u
http://www.forum.fr/
http://broadcast.infomaniak.ch/start-forum-high.mp3.m3u
http://www.radiofrancemaghreb.com/
http://broadcast.infomaniak.ch/francemaghreb-high.mp3.m3u
http://www.frequence3.fr/
http://ice.stream.frequence3.net/frequence3-128.mp3.m3u
http://www.frequence3.fr/
http://ice.stream.frequence3.net/frequence3ac-128.mp3.m3u
http://www.frequence3.fr/
http://ice.stream.frequence3.net/frequence3urban-128.mp3.m3u
http://www.frequencegrandslacs.fr/
http://players.creacast.com/creacast/fgl/playlist.pls
http://www.frequencehorizon.com/
http://broadcast.infomaniak.ch/frequencehorizon-high.mp3.m3u
http://www.frequenceluz.com/
http://www.frequenceluz.com:8000/mobile.m3u
http://www.frequencemetz.fr/
http://www.frequencemetz.fr/listen/high.m3u
http://www.rfpp.net/
http://giss.tv:8000/streamfpp.mp3.m3u
http://www.frequenceplusfm.com/
http://broadcast.infomaniak.ch/playlists/freqplus-high.mp3.m3u
http://www.frequence-sille.org/
http://www.streamakaci.com/radios/frequencesille.m3u
http://www.frequenceterre.com/
http://players.creacast.com/creacast/f_terre/playlist.pls
http://www.fugifm.fr/
http://62.161.48.48:8000/stream.mp3.m3u
http://www.funradio.fr/
http://streaming.radio.funradio.fr/fun-1-44-128.m3u
http://www.galaxiefm.com/
http://91.121.22.39:8010/listen.pls
http://www.generationsfm.com/
http://broadcast.infomaniak.ch/generationfm-high.mp3.m3u
http://www.generationsfm.com/
http://broadcast.infomaniak.net/generationfm-slowjam-high.mp3.m3u
http://www.generationsfm.com/
http://broadcast.infomaniak.net/generationfm-rap-high.mp3.m3u
http://www.generationsfm.com/
http://broadcast.infomaniak.net/generationfm-underground-high.mp3.m3u
http://www.generationsfm.com/
http://broadcast.infomaniak.net/generations-caraibes-high.mp3.m3u
http://www.goldfm.fr/
http://www.listenlive.eu/goldfmbordeaux.m3u
http://www.grafficfm.fr/
http://streaming.aorus.fr:8200/listen.pls
http://www.hagfm.fr/
http://www.streamakaci.com/radios/hagfmmp3.m3u
http://www.streamakaci.com/radios/hagfm.m3u
http://www.happyfm.com/
http://happyfm.08informatique.com:8010/listen.pls
http://www.helenefm.com/
http://broadcast.infomaniak.ch/helenefm-low.mp3.m3u
http://broadcast.infomaniak.ch/helenefm-high.mp3.m3u
http://www.hit-sport.fr/
http://broadcast.infomaniak.ch/hit-sport-low.mp3.m3u
http://broadcast.infomaniak.ch/hit-sport-high.mp3.m3u
http://www.hitwest.com/
http://broadcast.infomaniak.ch/hitwest-high.mp3.m3u
http://www.hotmixradio.fr/
http://www.hotmixradio.fr/hotmix.m3u
http://www.hotmixradio.fr/
http://www.hotmixradio.fr/hotmixhit.m3u
http://www.hotmixradio.fr/
http://www.hotmixradio.fr/hotmixrock.m3u
http://www.hotmixradio.fr/
http://www.hotmixradio.fr/hotmix80.m3u
http://www.hotmixradio.fr/
http://www.hotmixradio.fr/hotmix90.m3u
http://www.hotmixradio.fr/
http://www.hotmixradio.fr/funky.m3u
http://www.hotradio.fr/
http://st5.hotradio.fr:8062/listen.pls
http://www.hotradio.fr/
http://st5.hotradio.fr:8072/listen.pls
http://www.hotradio.fr/
http://st5.hotradio.fr:8052/listen.pls
http://www.idfm98.fr/
http://idfm98.fr/live/idfm_m3u_hq.m3u
http://www.impactfm.fr/
http://broadcast.infomaniak.ch/impactfm-128.mp3.m3u
http://www.isabellefm.com/
http://80.13.146.243:8000/listen.pls
http://www.jazzradio.fr/
http://www.listenlive.eu/jazzradio.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazz-wr01-128.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazz-wr02-128.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazz-wr03-128.mp3.m3u
http://www.jazzradio.fr/
